playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeamOriginal,statusCode,quotationCurrent,fvm,fantasyRoster,fbrefId,fbrefName,fbrefUrl,fbrefSearchQuery,fbrefSearchUrl,reviewBatch,reviewPriority,reviewScore,matchStatus,confidence,sourceVerifiedAt,mappedInRelease,notes
fc-5585,5585,Malen,A,A,Roma,IN_LISTONE,25,350,Ac Milan,116c35df,Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,Malen Roma fbref,https://fbref.com/en/search/search.fcgi?search=Malen%20Roma%20fbref,batch-01,3,83,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-254,254,Dimarco,D,E,Inter,IN_LISTONE,30,320,River Plaid,970b8574,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,Dimarco Inter fbref,https://fbref.com/en/search/search.fcgi?search=Dimarco%20Inter%20fbref,batch-01,1,88,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2764,2764,Martinez L.,A,Pc,Inter,IN_LISTONE,33,315,Prestige Worldwide,f7036e1c,Lautaro Martínez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez,Martinez L Inter fbref,https://fbref.com/en/search/search.fcgi?search=Martinez%20L%20Inter%20fbref,batch-01,2,84,confirmed,0.98,2026-06-05,V373,Nome listone abbreviato: associato a Lautaro Martínez.
fc-4871,4871,Thuram,A,Pc,Inter,IN_LISTONE,32,270,River Plaid,6f8cd6d0,Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,Thuram Inter fbref,https://fbref.com/en/search/search.fcgi?search=Thuram%20Inter%20fbref,batch-01,5,79,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6875,6875,Paz N.,C,T/A,Como,IN_LISTONE,26,245,FC DueFratelli2005,01bb93d5,Nicolás Paz,https://fbref.com/en/players/01bb93d5/Nicolas-Paz,Paz N Como fbref,https://fbref.com/en/search/search.fcgi?search=Paz%20N%20Como%20fbref,batch-01,4,79,confirmed,0.98,2026-06-05,V373,Omonimia controllata: scelto il profilo Nicolás Paz di Como/Real Madrid.
fc-4777,4777,McTominay,C,C/T,Napoli,IN_LISTONE,25,215,Beetlejuice,d93c2511,Scott McTominay,https://fbref.com/en/players/d93c2511/Scott-McTominay,McTominay Napoli fbref,https://fbref.com/en/search/search.fcgi?search=McTominay%20Napoli%20fbref,batch-01,7,74,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6052,6052,Hojlund,A,Pc,Napoli,IN_LISTONE,27,213,Beetlejuice,491a433d,Rasmus Højlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund,Hojlund Napoli fbref,https://fbref.com/en/search/search.fcgi?search=Hojlund%20Napoli%20fbref,batch-01,6,74,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-7017,7017,Douvikas,A,Pc,Como,IN_LISTONE,26,200,As Paperopoli,853ca71c,Anastasios Douvikas,https://fbref.com/en/players/853ca71c/Anastasios-Douvikas,Douvikas Como fbref,https://fbref.com/en/search/search.fcgi?search=Douvikas%20Como%20fbref,batch-01,8,73,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2379,2379,Rabiot,C,C/T,Milan,IN_LISTONE,23,195,Ac Milan,8794e251,Adrien Rabiot,https://fbref.com/en/players/8794e251/Adrien-Rabiot,Rabiot Milan fbref,https://fbref.com/en/search/search.fcgi?search=Rabiot%20Milan%20fbref,batch-01,10,69,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2194,2194,Calhanoglu,C,M/C,Inter,IN_LISTONE,24,190,River Plaid,cd0fa27b,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,Calhanoglu Inter fbref,https://fbref.com/en/search/search.fcgi?search=Calhanoglu%20Inter%20fbref,batch-01,11,65,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6434,6434,Yildiz,A,A,Juventus,IN_LISTONE,26,182,Olympic Salerno  FC,d8cda243,Kenan Yıldız,https://fbref.com/en/players/d8cda243/Kenan-Yildiz,Yildiz Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Yildiz%20Juventus%20fbref,batch-01,9,71,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2167,2167,Orsolini,C,W/A,Bologna,IN_LISTONE,19,150,Prestige Worldwide,e14ec482,Riccardo Orsolini,https://fbref.com/en/players/e14ec482/Riccardo-Orsolini,Orsolini Bologna fbref,https://fbref.com/en/search/search.fcgi?search=Orsolini%20Bologna%20fbref,batch-01,12,65,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-5637,5637,Davis K.,A,Pc,Udinese,IN_LISTONE,24,110,River Plaid,9deaf2c8,Keinan Davis,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,Davis K Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Davis%20K%20Udinese%20fbref,batch-01,13,59,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-4973,4973,McKennie,C,M/C,Juventus,IN_LISTONE,18,107,real mappine,01c3aff5,Weston McKennie,https://fbref.com/en/players/01c3aff5/Weston-McKennie,McKennie Juventus fbref,https://fbref.com/en/search/search.fcgi?search=McKennie%20Juventus%20fbref,batch-01,19,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-5841,5841,Svilar,P,Por,Roma,IN_LISTONE,17,105,FC DueFratelli2005,bcf5058a,Mile Svilar,https://fbref.com/en/players/bcf5058a/Mile-Svilar,Svilar Roma fbref,https://fbref.com/en/search/search.fcgi?search=Svilar%20Roma%20fbref,batch-01,15,59,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2841,2841,Vlahovic,A,Pc,Juventus,IN_LISTONE,16,100,Olympic Salerno  FC,79443529,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,Vlahovic Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Vlahovic%20Juventus%20fbref,batch-02,57,48,confirmed,0.98,2026-06-05,V374,"Nome listone senza accenti: associato a Dušan Vlahović, Juventus. Batch-02 verificato manualmente su FBref."
fc-5687,5687,Vlasic,C,T,Torino,IN_LISTONE,17,100,FC DueFratelli2005,aa8e289e,Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,Vlasic Torino fbref,https://fbref.com/en/search/search.fcgi?search=Vlasic%20Torino%20fbref,batch-01,16,59,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2766,2766,Zaniolo,C,T/A,Udinese,IN_LISTONE,19,100,Olympic Salerno  FC,9907b1c8,Nicolò Zaniolo,https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo,Zaniolo Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Zaniolo%20Udinese%20fbref,batch-01,21,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2423,2423,Pulisic,C,T/A,Milan,IN_LISTONE,24,100,Prestige Worldwide,1bf33a9a,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,Pulisic Milan fbref,https://fbref.com/en/search/search.fcgi?search=Pulisic%20Milan%20fbref,batch-01,26,57,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2061,2061,Simeone,A,Pc,Torino,IN_LISTONE,22,99,River Plaid,343c0d52,Giovanni Simeone,https://fbref.com/en/players/343c0d52/Giovanni-Simeone,Simeone Torino fbref,https://fbref.com/en/search/search.fcgi?search=Simeone%20Torino%20fbref,batch-01,20,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6435,6435,Krstovic,A,Pc,Atalanta,IN_LISTONE,24,95,Ac Milan,473803c9,Nikola Krstović,https://fbref.com/en/players/473803c9/Nikola-Krstovic,Krstovic Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=Krstovic%20Atalanta%20fbref,batch-01,18,58,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-2137,2137,Scamacca,A,Pc,Atalanta,IN_LISTONE,23,95,FC DueFratelli2005,8790f988,Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,Scamacca Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=Scamacca%20Atalanta%20fbref,batch-01,37,53,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-7126,7126,Baturina,C,T,Como,IN_LISTONE,24,95,Olympic Salerno  FC,d1eda5f0,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,Baturina Como fbref,https://fbref.com/en/search/search.fcgi?search=Baturina%20Como%20fbref,batch-01,30,55,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
