reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"1","batch-01","fc-254","Dimarco","D","E","INT","Inter","254","30","320","River Plaid","Dimarco Inter fbref","https://fbref.com/en/search/search.fcgi?search=Dimarco%20Inter%20fbref","","","","needs-review","",""
"2","batch-01","fc-2764","Martinez L.","A","Pc","INT","Inter","2764","33","315","Prestige Worldwide","Martinez L Inter fbref","https://fbref.com/en/search/search.fcgi?search=Martinez%20L%20Inter%20fbref","","","","needs-review","",""
"3","batch-01","fc-5585","Malen","A","A","ROM","Roma","5585","25","350","Ac Milan","Malen Roma fbref","https://fbref.com/en/search/search.fcgi?search=Malen%20Roma%20fbref","","","","needs-review","",""
"4","batch-01","fc-6875","Paz N.","C","T/A","COM","Como","6875","26","245","FC DueFratelli2005","Paz N Como fbref","https://fbref.com/en/search/search.fcgi?search=Paz%20N%20Como%20fbref","","","","needs-review","",""
"5","batch-01","fc-4871","Thuram","A","Pc","INT","Inter","4871","32","270","River Plaid","Thuram Inter fbref","https://fbref.com/en/search/search.fcgi?search=Thuram%20Inter%20fbref","","","","needs-review","",""
"6","batch-01","fc-6052","Hojlund","A","Pc","NAP","Napoli","6052","27","213","Beetlejuice","Hojlund Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Hojlund%20Napoli%20fbref","","","","needs-review","",""
"7","batch-01","fc-4777","McTominay","C","C/T","NAP","Napoli","4777","25","215","Beetlejuice","McTominay Napoli fbref","https://fbref.com/en/search/search.fcgi?search=McTominay%20Napoli%20fbref","","","","needs-review","",""
"8","batch-01","fc-7017","Douvikas","A","Pc","COM","Como","7017","26","200","As Paperopoli","Douvikas Como fbref","https://fbref.com/en/search/search.fcgi?search=Douvikas%20Como%20fbref","","","","needs-review","",""
"9","batch-01","fc-6434","Yildiz","A","A","JUV","Juventus","6434","26","182","Olympic Salerno  FC","Yildiz Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Yildiz%20Juventus%20fbref","","","","needs-review","",""
"10","batch-01","fc-2379","Rabiot","C","C/T","MIL","Milan","2379","23","195","Ac Milan","Rabiot Milan fbref","https://fbref.com/en/search/search.fcgi?search=Rabiot%20Milan%20fbref","","","","needs-review","",""
"11","batch-01","fc-2194","Calhanoglu","C","M/C","INT","Inter","2194","24","190","River Plaid","Calhanoglu Inter fbref","https://fbref.com/en/search/search.fcgi?search=Calhanoglu%20Inter%20fbref","","","","needs-review","",""
"12","batch-01","fc-2167","Orsolini","C","W/A","BOL","Bologna","2167","19","150","Prestige Worldwide","Orsolini Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Orsolini%20Bologna%20fbref","","","","needs-review","",""
"13","batch-01","fc-5637","Davis K.","A","Pc","UDI","Udinese","5637","24","110","River Plaid","Davis K Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Davis%20K%20Udinese%20fbref","","","","needs-review","",""
"14","batch-01","fc-6060","Laurientè","A","A","SAS","Sassuolo","6060","21","82","Real Pisistrius","Laurientè Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Laurient%C3%A8%20Sassuolo%20fbref","","","","needs-review","",""
"15","batch-01","fc-5841","Svilar","P","Por","ROM","Roma","5841","17","105","FC DueFratelli2005","Svilar Roma fbref","https://fbref.com/en/search/search.fcgi?search=Svilar%20Roma%20fbref","","","","needs-review","",""
"16","batch-01","fc-5687","Vlasic","C","T","TOR","Torino","5687","17","100","FC DueFratelli2005","Vlasic Torino fbref","https://fbref.com/en/search/search.fcgi?search=Vlasic%20Torino%20fbref","","","","needs-review","",""
"17","batch-01","fc-5559","Da Cunha","C","C/W/T","COM","Como","5559","20","80","Afc Severgas Baronissi","Da Cunha Como fbref","https://fbref.com/en/search/search.fcgi?search=Da%20Cunha%20Como%20fbref","","","","needs-review","",""
"18","batch-01","fc-6435","Krstovic","A","Pc","ATA","Atalanta","6435","24","95","Ac Milan","Krstovic Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Krstovic%20Atalanta%20fbref","","","","needs-review","",""
"19","batch-01","fc-4973","McKennie","C","M/C","JUV","Juventus","4973","18","107","real mappine","McKennie Juventus fbref","https://fbref.com/en/search/search.fcgi?search=McKennie%20Juventus%20fbref","","","","needs-review","",""
"20","batch-01","fc-2061","Simeone","A","Pc","TOR","Torino","2061","22","99","River Plaid","Simeone Torino fbref","https://fbref.com/en/search/search.fcgi?search=Simeone%20Torino%20fbref","","","","needs-review","",""
"21","batch-01","fc-2766","Zaniolo","C","T/A","UDI","Udinese","2766","19","100","Olympic Salerno  FC","Zaniolo Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Zaniolo%20Udinese%20fbref","","","","needs-review","",""
"22","batch-01","fc-6908","Atta","C","C","UDI","Udinese","6908","20","85","real mappine","Atta Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Atta%20Udinese%20fbref","","","","needs-review","",""
"23","batch-01","fc-6966","Butez","P","Por","COM","Como","6966","16","95","Beetlejuice","Butez Como fbref","https://fbref.com/en/search/search.fcgi?search=Butez%20Como%20fbref","","","","needs-review","",""
"24","batch-01","fc-4431","Carnesecchi","P","Por","ATA","Atalanta","4431","18","80","Olympic Salerno  FC","Carnesecchi Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Carnesecchi%20Atalanta%20fbref","","","","needs-review","",""
"25","batch-01","fc-4463","Esposito Se.","A","A","CAG","Cagliari","4463","21","70","Prestige Worldwide","Esposito Se Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Esposito%20Se%20Cagliari%20fbref","","","","needs-review","",""
"26","batch-01","fc-2423","Pulisic","C","T/A","MIL","Milan","2423","24","100","Prestige Worldwide","Pulisic Milan fbref","https://fbref.com/en/search/search.fcgi?search=Pulisic%20Milan%20fbref","","","","needs-review","",""
"27","batch-01","fc-5734","Soulè","A","A","ROM","Roma","5734","20","85","Prestige Worldwide","Soulè Roma fbref","https://fbref.com/en/search/search.fcgi?search=Soul%C3%A8%20Roma%20fbref","","","","needs-review","",""
"28","batch-01","fc-4312","Maignan","P","Por","MIL","Milan","4312","16","88","real mappine","Maignan Milan fbref","https://fbref.com/en/search/search.fcgi?search=Maignan%20Milan%20fbref","","","","needs-review","",""
"29","batch-01","fc-2606","Modric","C","C","MIL","Milan","2606","18","90","River Plaid","Modric Milan fbref","https://fbref.com/en/search/search.fcgi?search=Modric%20Milan%20fbref","","","","needs-review","",""
"30","batch-01","fc-7126","Baturina","C","T","COM","Como","7126","24","95","Olympic Salerno  FC","Baturina Como fbref","https://fbref.com/en/search/search.fcgi?search=Baturina%20Como%20fbref","","","","needs-review","",""
