playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeamOriginal,statusCode,quotationCurrent,fvm,fantasyRoster,fbrefId,fbrefName,fbrefUrl,fbrefSearchQuery,fbrefSearchUrl,reviewBatch,reviewPriority,reviewScore,matchStatus,confidence,sourceVerifiedAt,mappedInRelease,notes
fc-2841,2841,Vlahovic,A,Pc,Juventus,IN_LISTONE,16,100,Olympic Salerno  FC,79443529,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,Vlahovic Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Vlahovic%20Juventus%20fbref,batch-02,57,48,confirmed,0.98,2026-06-05,V374,"Nome listone senza accenti: associato a Dušan Vlahović, Juventus. Batch-02 verificato manualmente su FBref."
fc-4159,4159,Akanji,D,Dc,Inter,IN_LISTONE,13,64,Prestige Worldwide,89ac64a6,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,Akanji Inter fbref,https://fbref.com/en/search/search.fcgi?search=Akanji%20Inter%20fbref,batch-02,58,47,confirmed,0.98,2026-06-05,V374,Nome listone univoco; profilo FBref collegato a Inter/Manchester City. Batch-02 verificato manualmente su FBref.
fc-2428,2428,Sommer,P,Por,Inter,IN_LISTONE,13,60,Afc Severgas Baronissi,420c18a1,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,Sommer Inter fbref,https://fbref.com/en/search/search.fcgi?search=Sommer%20Inter%20fbref,batch-02,56,48,confirmed,0.98,2026-06-05,V374,Portiere Inter: profilo FBref Yann Sommer. Batch-02 verificato manualmente su FBref.
fc-5995,5995,De Ketelaere,A,A,Atalanta,IN_LISTONE,16,59,FC DueFratelli2005,2ef7c612,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,De Ketelaere Atalanta fbref,https://fbref.com/en/search/search.fcgi?search=De%20Ketelaere%20Atalanta%20fbref,batch-02,51,49,confirmed,0.98,2026-06-05,V374,"Nome listone abbreviato: associato a Charles De Ketelaere, Atalanta. Batch-02 verificato manualmente su FBref."
fc-6956,6956,Solet,D,Dc,Udinese,IN_LISTONE,14,55,Real Pisistrius,0670ee51,Oumar Solet,https://fbref.com/en/players/0670ee51/Oumar-Solet,Solet Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Solet%20Udinese%20fbref,batch-02,55,48,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Oumar Solet, Udinese. Batch-02 verificato manualmente su FBref."
fc-6684,6684,Ekkelenkamp,C,C/T,Udinese,IN_LISTONE,14,51,Afc Severgas Baronissi,73d6a176,Jurgen Ekkelenkamp,https://fbref.com/en/players/73d6a176/Jurgen-Ekkelenkamp,Ekkelenkamp Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Ekkelenkamp%20Udinese%20fbref,batch-02,61,46,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Jurgen Ekkelenkamp, Udinese. Batch-02 verificato manualmente su FBref."
fc-4317,4317,N'Dicka,D,Dc,Roma,IN_LISTONE,12,51,Ac Milan,441197b8,Obite N'Dicka,https://fbref.com/en/players/441197b8/Obite-NDicka,N'Dicka Roma fbref,https://fbref.com/en/search/search.fcgi?search=N'Dicka%20Roma%20fbref,batch-02,82,44,confirmed,0.98,2026-06-05,V374,"Nome listone N'Dicka: associato a Obite/Evan N'Dicka, Roma. Batch-02 verificato manualmente su FBref."
fc-5750,5750,Ostigard,D,Dc,Genoa,IN_LISTONE,15,50,Prestige Worldwide,b35a7399,Leo Skiri Østigård,https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard,Ostigard Genoa fbref,https://fbref.com/en/search/search.fcgi?search=Ostigard%20Genoa%20fbref,batch-02,66,46,confirmed,0.98,2026-06-05,V374,"Nome listone senza accenti: associato a Leo Skiri Østigård, Genoa. Batch-02 verificato manualmente su FBref."
fc-6844,6844,Rowe,C,W/T,Bologna,IN_LISTONE,15,49,Ac Milan,8c12f884,Jonathan Rowe,https://fbref.com/en/players/8c12f884/Jonathan-Rowe,Rowe Bologna fbref,https://fbref.com/en/search/search.fcgi?search=Rowe%20Bologna%20fbref,batch-02,72,45,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Jonathan Rowe, Bologna. Batch-02 verificato manualmente su FBref."
fc-827,827,Locatelli,C,M/C,Juventus,IN_LISTONE,12,47,Beetlejuice,a8a874f1,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/Manuel-Locatelli,Locatelli Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Locatelli%20Juventus%20fbref,batch-02,62,46,confirmed,0.99,2026-06-05,V374,"Nome listone cognome: associato a Manuel Locatelli, Juventus. Batch-02 verificato manualmente su FBref."
