"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"263","batch-06","fc-6439","Cheddira","A","Pc","LEC","Lecce","6439","11","23","","Cheddira Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Cheddira%20Lecce%20fbref","0545a08e","Walid Cheddira","https://fbref.com/en/players/0545a08e/Walid-Cheddira","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Cheddira: associato a Walid Cheddira; club Lecce/Napoli compatibile nei dati FBref. Batch-06 verificato manualmente su FBref."
"256","batch-06","fc-572","Meret","P","Por","NAP","Napoli","572","8","20","Olympic Salerno  FC","Meret Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Meret%20Napoli%20fbref","9413b19f","Alex Meret","https://fbref.com/en/players/9413b19f/Alex-Meret","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Meret: associato ad Alex Meret, portiere Napoli. Batch-06 verificato manualmente su FBref."
"260","batch-06","fc-6380","Solomon","A","W/A","FIO","Fiorentina","6380","8","18","Afc Severgas Baronissi","Solomon Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Solomon%20Fiorentina%20fbref","886f9aac","Manor Solomon","https://fbref.com/en/players/886f9aac/Manor-Solomon","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Solomon: associato a Manor Solomon, profilo FBref con Fiorentina. Batch-06 verificato manualmente su FBref."
"265","batch-06","fc-5833","Gila","D","Dc","LAZ","Lazio","5833","8","16","","Gila Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Gila%20Lazio%20fbref","9c435456","Mario Gila","https://fbref.com/en/players/9c435456/Mario-Gila","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Gila: associato a Mario Gila, Lazio. Batch-06 verificato manualmente su FBref."
"269","batch-06","fc-6252","Folorunsho","C","C/T","CAG","Cagliari","6252","10","14","","Folorunsho Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Folorunsho%20Cagliari%20fbref","c391a179","Michael Folorunsho","https://fbref.com/en/players/c391a179/Michael-Folorunsho","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Folorunsho: associato a Michael Folorunsho, Cagliari/Fiorentina/Verona su FBref. Batch-06 verificato manualmente su FBref."
"255","batch-06","fc-2528","Matic","C","M/C","SAS","Sassuolo","2528","8","13","","Matic Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Matic%20Sassuolo%20fbref","eb7822d7","Nemanja Matić","https://fbref.com/en/players/eb7822d7/Nemanja-Matic","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Matic: associato a Nemanja Matić; accento normalizzato nello slug. Batch-06 verificato manualmente su FBref."
"275","batch-06","fc-6990","Veiga D.","D","Dd/E","LEC","Lecce","6990","5","13","","Veiga D Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Veiga%20D%20Lecce%20fbref","cc094532","Danilo Veiga","https://fbref.com/en/players/cc094532/Danilo-Veiga","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Veiga D.: associato a Danilo Veiga, Lecce; omonimi Danilo esclusi. Batch-06 verificato manualmente su FBref."
"267","batch-06","fc-5701","Obert","D","Ds/Dc","CAG","Cagliari","5701","7","13","","Obert Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Obert%20Cagliari%20fbref","aa25ce92","Adam Obert","https://fbref.com/en/players/aa25ce92/Adam-Obert","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Obert: associato ad Adam Obert, Cagliari. Batch-06 verificato manualmente su FBref."
"288","batch-06","fc-7223","Vergara","C","W/T","NAP","Napoli","7223","8","12","River Plaid","Vergara Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Vergara%20Napoli%20fbref","848c17ed","Antonio Vergara","https://fbref.com/en/players/848c17ed/Antonio-Vergara","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Vergara: associato ad Antonio Vergara, Napoli. Batch-06 verificato manualmente su FBref."
"287","batch-06","fc-7209","Sorensen O.","C","C","PAR","Parma","7209","7","12","","Sorensen O Parma fbref","https://fbref.com/en/search/search.fcgi?search=Sorensen%20O%20Parma%20fbref","53e442e2","Oliver Jensen","https://fbref.com/en/players/53e442e2/Oliver-Jensen","confirmed","0.98","FBref","2026-06-05","V378","Nome listone Sorensen O.: associato al profilo FBref Oliver Jensen, alias/forma completa del giocatore Parma. Batch-06 verificato manualmente su FBref."
