playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-5585","Malen","A","A","ROM","5585","","","unmapped",""
"fc-254","Dimarco","D","E","INT","254","","","unmapped",""
"fc-2764","Martinez L.","A","Pc","INT","2764","","","unmapped",""
"fc-4871","Thuram","A","Pc","INT","4871","","","unmapped",""
"fc-6875","Paz N.","C","T/A","COM","6875","","","unmapped",""
"fc-4777","McTominay","C","C/T","NAP","4777","","","unmapped",""
"fc-6052","Hojlund","A","Pc","NAP","6052","","","unmapped",""
"fc-7017","Douvikas","A","Pc","COM","7017","","","unmapped",""
"fc-2379","Rabiot","C","C/T","MIL","2379","","","unmapped",""
"fc-2194","Calhanoglu","C","M/C","INT","2194","","","unmapped",""
"fc-6434","Yildiz","A","A","JUV","6434","","","unmapped",""
"fc-2167","Orsolini","C","W/A","BOL","2167","","","unmapped",""
"fc-5637","Davis K.","A","Pc","UDI","5637","","","unmapped",""
"fc-4973","McKennie","C","M/C","JUV","4973","","","unmapped",""
"fc-5841","Svilar","P","Por","ROM","5841","","","unmapped",""
"fc-2841","Vlahovic","A","Pc","JUV","2841","","","unmapped",""
"fc-5687","Vlasic","C","T","TOR","5687","","","unmapped",""
"fc-2766","Zaniolo","C","T/A","UDI","2766","","","unmapped",""
"fc-2423","Pulisic","C","T/A","MIL","2423","","","unmapped",""
"fc-2061","Simeone","A","Pc","TOR","2061","","","unmapped",""
"fc-6435","Krstovic","A","Pc","ATA","6435","","","unmapped",""
"fc-2137","Scamacca","A","Pc","ATA","2137","","","unmapped",""
"fc-7126","Baturina","C","T","COM","7126","","","unmapped",""
"fc-6966","Butez","P","Por","COM","6966","","","unmapped",""
"fc-2517","De Bruyne","C","T","NAP","2517","","","unmapped",""
"fc-531","Berardi","A","A","SAS","531","","","unmapped",""
"fc-2606","Modric","C","C","MIL","2606","","","unmapped",""
"fc-4312","Maignan","P","Por","MIL","4312","","","unmapped",""
"fc-5734","Soulè","A","A","ROM","5734","","","unmapped",""
"fc-6908","Atta","C","C","UDI","6908","","","unmapped",""
"fc-6060","Laurientè","A","A","SAS","6060","","","unmapped",""
"fc-4510","Leao","A","A","MIL","4510","","","unmapped",""
"fc-5559","Da Cunha","C","C/W/T","COM","5559","","","unmapped",""
"fc-4431","Carnesecchi","P","Por","ATA","4431","","","unmapped",""
"fc-6832","Palestra","D","E","CAG","6832","","","unmapped",""
"fc-2788","Bremer","D","Dc","JUV","2788","","","unmapped",""
"fc-4463","Esposito Se.","A","A","CAG","4463","","","unmapped",""
"fc-4976","Kalulu","D","Dd/Dc","JUV","4976","","","unmapped",""
"fc-7023","Pellegrino M.","A","Pc","PAR","7023","","","unmapped",""
"fc-6717","Konè I.","C","M/C","SAS","6717","","","unmapped",""
"fc-6884","Conceicao","C","W/A","JUV","6884","","","unmapped",""
"fc-4159","Akanji","D","Dc","INT","4159","","","unmapped",""
"fc-1933","Mandragora","C","M/C","FIO","1933","","","unmapped",""
"fc-152","Zielinski","C","C/T","INT","152","","","unmapped",""
