playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-5585,5585,Malen,A,A,ROM,Ac Milan,116c35df,Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-254,254,Dimarco,D,E,INT,River Plaid,970b8574,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2764,2764,Martinez L.,A,Pc,INT,Prestige Worldwide,f7036e1c,Lautaro Martínez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4871,4871,Thuram,A,Pc,INT,River Plaid,6f8cd6d0,Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6875,6875,Paz N.,C,T/A,COM,FC DueFratelli2005,01bb93d5,Nicolás Paz,https://fbref.com/en/players/01bb93d5/Nicolas-Paz,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4777,4777,McTominay,C,C/T,NAP,Beetlejuice,d93c2511,Scott McTominay,https://fbref.com/en/players/d93c2511/Scott-McTominay,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6052,6052,Hojlund,A,Pc,NAP,Beetlejuice,491a433d,Rasmus Højlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7017,7017,Douvikas,A,Pc,COM,As Paperopoli,853ca71c,Anastasios Douvikas,https://fbref.com/en/players/853ca71c/Anastasios-Douvikas,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2379,2379,Rabiot,C,C/T,MIL,Ac Milan,8794e251,Adrien Rabiot,https://fbref.com/en/players/8794e251/Adrien-Rabiot,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2194,2194,Calhanoglu,C,M/C,INT,River Plaid,cd0fa27b,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6434,6434,Yildiz,A,A,JUV,Olympic Salerno  FC,d8cda243,Kenan Yıldız,https://fbref.com/en/players/d8cda243/Kenan-Yildiz,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2167,2167,Orsolini,C,W/A,BOL,Prestige Worldwide,e14ec482,Riccardo Orsolini,https://fbref.com/en/players/e14ec482/Riccardo-Orsolini,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5637,5637,Davis K.,A,Pc,UDI,River Plaid,9deaf2c8,Keinan Davis,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4973,4973,McKennie,C,M/C,JUV,real mappine,01c3aff5,Weston McKennie,https://fbref.com/en/players/01c3aff5/Weston-McKennie,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5841,5841,Svilar,P,Por,ROM,FC DueFratelli2005,bcf5058a,Mile Svilar,https://fbref.com/en/players/bcf5058a/Mile-Svilar,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2841,2841,Vlahovic,A,Pc,JUV,Olympic Salerno  FC,79443529,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5687,5687,Vlasic,C,T,TOR,FC DueFratelli2005,aa8e289e,Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2766,2766,Zaniolo,C,T/A,UDI,Olympic Salerno  FC,9907b1c8,Nicolò Zaniolo,https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2423,2423,Pulisic,C,T/A,MIL,Prestige Worldwide,1bf33a9a,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2061,2061,Simeone,A,Pc,TOR,River Plaid,343c0d52,Giovanni Simeone,https://fbref.com/en/players/343c0d52/Giovanni-Simeone,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6435,6435,Krstovic,A,Pc,ATA,Ac Milan,473803c9,Nikola Krstović,https://fbref.com/en/players/473803c9/Nikola-Krstovic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2137,2137,Scamacca,A,Pc,ATA,FC DueFratelli2005,8790f988,Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7126,7126,Baturina,C,T,COM,Olympic Salerno  FC,d1eda5f0,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6966,6966,Butez,P,Por,COM,Beetlejuice,7f40333d,Jean Butez,https://fbref.com/en/players/7f40333d/Jean-Butez,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2517,2517,De Bruyne,C,T,NAP,As Paperopoli,e46012d4,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-531,531,Berardi,A,A,SAS,Prestige Worldwide,53a0e358,Domenico Berardi,https://fbref.com/en/players/53a0e358/Domenico-Berardi,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2606,2606,Modric,C,C,MIL,River Plaid,6025fab1,Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4312,4312,Maignan,P,Por,MIL,real mappine,fcb38f57,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5734,5734,Soulè,A,A,ROM,Prestige Worldwide,c13ddd3e,Matìas Soulé,https://fbref.com/en/players/c13ddd3e/Matias-Soule,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6908,6908,Atta,C,C,UDI,real mappine,d3ddf88b,Arthur Atta,https://fbref.com/en/players/d3ddf88b/Arthur-Atta,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6060,6060,Laurientè,A,A,SAS,Real Pisistrius,2d22cea7,Armand Lauriente,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4510,4510,Leao,A,A,MIL,Beetlejuice,20730eae,Rafael Leão,https://fbref.com/en/players/20730eae/Rafael-Leao,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5559,5559,Da Cunha,C,C/W/T,COM,Afc Severgas Baronissi,007faf7a,Lucas Da Cunha,https://fbref.com/en/players/007faf7a/Lucas-Da-Cunha,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4431,4431,Carnesecchi,P,Por,ATA,Olympic Salerno  FC,8ec56e62,Marco Carnesecchi,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6832,6832,Palestra,D,E,CAG,Olympic Salerno  FC,1f1828dd,Marco Palestra,https://fbref.com/en/players/1f1828dd/Marco-Palestra,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2788,2788,Bremer,D,Dc,JUV,Olympic Salerno  FC,5fd5ed86,Gleison Bremer,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
